의료기관명,주소,병상수
둔산엔젤요양병원,"대전광역시 서구 대덕대로 244-0 (둔산동,건국타워5층,9~11층)",70
중부요양병원,"대전광역시 중구 계백로 1546-0 (유천동,대전중부새마을금고)",197
중구의료소비자생활협동조합 보문산생태요양병원,"대전광역시 중구 보문산공원로 473-0 (대사동, 1~5층 (대사동))",98
새봄요양병원,"대전광역시 동구 신기로 123-20 (가오동, (가오동))",198
백세요양병원,"대전광역시 중구 대종로 437-0 (대흥동,백세병원)",197
튼튼요양병원,"대전광역시 중구 목중로 9 (목동,대전튼튼요양병원)",261
남대전요양병원,"대전광역시 동구 산서로1660번길 142 (대별동, (대별동))",196
보아스요양병원,"대전광역시 서구 도산로 224-0 (변동, (변동))",184
대전동부요양병원,"대전광역시 동구 동부로 150 (용운동, (용운동))",242
성심요양병원,"대전광역시 서구 갈마로 45-0 (갈마동, (갈마동))",199
대전보람요양병원,"대전광역시 중구 인창로 35 (문창동, (문창동))",190
벤조인요양병원,"대전광역시 유성구 지족로364번길 19-0 (지족동, 2층 (지족동))",68
둔산요양병원,"대전광역시 서구 둔산중로 38-0 (둔산동,둔산메트로존(9,10층))",148
대전그린의료소비자생활협동조합그린요양병원,"대전광역시 동구 옥천로176번길 15-4 (판암동, (판암동))",182
명인요양병원,"대전광역시 동구 산내로1287번길 71-14 (낭월동, (낭월동))",170
의료법인 원전의료재단 가양요양병원,"대전광역시 동구 우암로 281 (가양동, (가양동))",142
의료법인 나우리의료재단 나우리요양병원,"대전광역시 유성구 진잠로 164 (원내동, (원내동))",279
큰우리요양병원,대전광역시 유성구 학하서로 99-0 (덕명동),138
다솜요양병원,"대전광역시 동구 우암로 234 (가양동, (가양동))",172
대전광역시립제2노인전문병원,"대전광역시 동구 산내로 300 (하소동, (하소동))",163
의료법인고운손의료재단고운마음요양병원,"대전광역시 유성구 송림로 58-0 (하기동, (하기동))",222
의)밝은마음의료재단 유성한가족요양병원,"대전광역시 유성구 온천동로 43-0 (봉명동,본관4~9층/신관1층,4~9층)",242
의료법인대전석천의료재단 섬김요양병원,"대전광역시 중구 유천로 76-0 (유천동, (유천동))",139
의료법인 정다운의료재단 나진요양병원,"대전광역시 서구 갈마로 122-0 (괴정동,나진요양병원)",256
의료법인 지덕사의료재단 양녕요양병원,"대전광역시 서구 신갈마로 126-0 (갈마동,양녕요양병원)",196
홍제요양병원,"대전광역시 대덕구 동서대로 1805 (송촌동, (송촌동))",86
테크노요양병원,"대전광역시 유성구 테크노7로 31 (용산동,해성빌딩)",130
의료법인 선사인혜요양병원,"대전광역시 서구 대덕대로317번길 26 (월평동, (월평동))",100
의료법인 대전세진의료재단 은혜요양병원,"대전광역시 중구 계룡로 943-  (대사동,(대사동))",129
의료법인 원전의료재단보니파시오요양병원,"대전광역시 대덕구 덕암로 225-0 (덕암동, (덕암동))",256
의료법인 참사랑의료재단 대전참사랑요양병원,"대전광역시 서구 계룡로491번길 8-0 (둔산동,갤러리빌4차)",149
부모사랑요양병원,"대전광역시 동구 우암로 159-  (성남동,159)",106
의료법인 한일의료재단 패밀리요양병원,"대전광역시 중구 중교로 39-0 (대흥동, (대흥동))",141
대전연세요양병원,"대전광역시 유성구 한밭대로492번길 26-30 (봉명동, (봉명동))",199
의료법인고려의료재단 원동요양병원,"대전광역시 동구 대전로 742-0 (원동, 2~4층 (원동,대전원동건축자재판매시설))",199
의료법인 세명의료재단 세명요양병원,"대전광역시 중구 대종로 599 (선화동, (선화동))",215
한남요양병원,"대전광역시 대덕구 한밭대로 1150-  (중리동, (중리동))",150
의료법인 산수의료재단 웰시티요양병원,"대전광역시 중구 대종로 400 (대흥동, (대흥동))",327
대전기독요양병원,"대전광역시 동구 계족로 189-  (대동, (대동))",140
의료법인비에스의료재단 브레인요양병원,"대전광역시 유성구 도안대로567번길 26-0 (봉명동, 0동 (봉명동))",242
대전광역시립제1노인전문병원,"대전광역시 유성구 유성대로 1422 (방현동,1422)",290
시민요양병원,"대전광역시 중구 보문산로 359 (문화동,(문화동))",147
의료법인 남영의료재단  남영노인전문병원,"대전광역시 동구 태전로 39 (정동, (정동))",189
평화요양병원,"대전광역시 중구 대전천서로 745 (중촌동,(중촌동))",188
사회복지법인 금성복지재단 보광노인전문병원,"대전광역시 동구 산내로560번길 18-11 (상소동, (상소동))",150
